user_name,user_id,video_id,video_desc,video_time,video_length,video_link,n_likes,n_shares,n_comments,n_plays
milkytreatsicecream,6604166699125620741,6857204581382884614,Samples for everyone 😜 #fyp #icecream #samples,1596567362,11,https://www.tiktok.com/@milkytreatsicecream/video/6857204581382884614?lang=en,756200,2121,5399,5900000
rileydebardelaben,6684035843848143878,6853494005762739461,i love this trend,1595703422,8,https://www.tiktok.com/@rileydebardelaben/video/6853494005762739461?lang=en,2700000,24800,7422,19100000
goodstuffaw,6853060897448100870,6856336769210731782,"Amazing,useful,no leaks,do u wanna get one?#goodthings #gotthisforyou#goodstuff#amazonfinds #foryou#fyp#good#useful#MiPan",1596365311,13,https://www.tiktok.com/@goodstuffaw/video/6856336769210731782?lang=en,90500,1010,202,4600000
jasonderulo,21609287,6852518354402462982,😱,1595476264,7,https://www.tiktok.com/@jasonderulo/video/6852518354402462982?lang=en,990200,6028,6223,7400000
kortneygranning,6768459556890625030,6828301070947601669,#momsoftiktok #neighbor #timetomove,1589837735,11,https://www.tiktok.com/@kortneygranning/video/6828301070947601669?lang=en,11500,230,73,299700
think.global,6822227618533278726,6830087371728456966,#ice #snake #ballon #duet #what,1590253640,9,https://www.tiktok.com/@think.global/video/6830087371728456966?lang=en,16100,55,173,684100
cristianjaviertv,6775281133393593350,6857161679411711237,Dejame ver 👀😭😭😭 @iamlaloretv #fyp #fypシ #foryoupage #destacame #viral #trending #foryou @daniiielayala,1596557373,12,https://www.tiktok.com/@cristianjaviertv/video/6857161679411711237?lang=en,721600,7134,4022,7500000
worldofglass,6722225797506270213,6829148785713761541,This GLASS ART piece is SAVAGE! so big - this is super hard to make 🙌🔥 #Worldofglass #Glassblowing video by aytac_davids #AXEfingersdown #litty,1590035112,11,https://www.tiktok.com/@worldofglass/video/6829148785713761541?lang=en,609000,1878,1403,10800000
liu16270,6805958208810419205,6859277497381440773,#fyp #WC #sewer #bathroom #Seal mouth #convenience,1597050004,10,https://www.tiktok.com/@liu16270/video/6859277497381440773?lang=en,33200,634,461,4100000
jasonderulo,21609287,6860192891961216262,How did they do? Rate 1-10 🙌🏾🙌🏾 @jena @sommerray #TakeYouDancing,1597263132,15,https://www.tiktok.com/@jasonderulo/video/6860192891961216262?lang=en,127200,82,2942,645800
veronicaallis,6752838088588788741,6827175338846555397,💖💖💖 #25weekspregnant #latina #latinamom,1589575630,9,https://www.tiktok.com/@veronicaallis/video/6827175338846555397?lang=en,154200,2609,434,1500000
mb.flavortown,6721066148941022214,6827971411617828102,#duet with @four5seven4 hi #fyp,1589760980,10,https://www.tiktok.com/@mb.flavortown/video/6827971411617828102?lang=en,18300,23,53,237100
