,state,fips,votes_total,per_dem,per_gop,votes_dem,votes_gop
2745,Texas,48411,2602,0.11,0.89,287,2308
2746,Texas,48413,1158,0.18,0.81,211,939
2747,Texas,48415,5865,0.14,0.85,818,4978
2748,Texas,48417,1628,0.08,0.91,130,1484
2749,Texas,48419,10063,0.2,0.79,2058,7962
2750,Texas,48421,990,0.09,0.89,91,885
2751,Texas,48423,99521,0.29,0.69,29343,68546
2752,Texas,48425,4940,0.16,0.83,768,4099
2753,Texas,48427,17478,0.52,0.47,9099,8224
2754,Texas,48429,3799,0.1,0.89,396,3385
2755,Texas,48431,639,0.08,0.91,51,584
2756,Texas,48433,736,0.16,0.84,116,615
2757,Texas,48435,1557,0.21,0.78,322,1222
2758,Texas,48437,2353,0.2,0.78,478,1842
2759,Texas,48439,815962,0.49,0.49,401313,401509
2760,Texas,48441,54924,0.26,0.72,14489,39439
2761,Texas,48443,458,0.26,0.73,119,334
2762,Texas,48445,3608,0.21,0.78,757,2809
2763,Texas,48447,899,0.09,0.9,82,806
2764,Texas,48449,10530,0.27,0.72,2852,7563
2765,Texas,48451,50644,0.29,0.69,14774,35149
2766,Texas,48453,605034,0.71,0.26,432062,159907
2767,Texas,48455,6938,0.19,0.8,1323,5579
2768,Texas,48457,13412,0.16,0.83,2188,11162
2769,Texas,48459,18850,0.15,0.84,2869,15775
2770,Texas,48461,1365,0.12,0.86,169,1176
2771,Texas,48463,10323,0.39,0.6,4066,6160
2772,Texas,48465,14417,0.44,0.54,6401,7839
2773,Texas,48467,25753,0.13,0.86,3419,22126
2774,Texas,48469,34205,0.3,0.68,10371,23347
2775,Texas,48471,23641,0.33,0.65,7875,15368
2776,Texas,48473,22617,0.36,0.63,8130,14206
2777,Texas,48475,4034,0.19,0.8,761,3238
2778,Texas,48477,17410,0.24,0.74,4254,12949
2779,Texas,48479,68439,0.61,0.38,41820,25898
2780,Texas,48481,16709,0.28,0.71,4671,11892
2781,Texas,48483,2336,0.07,0.92,168,2158
2782,Texas,48485,45752,0.28,0.7,13024,31930
2783,Texas,48487,4518,0.21,0.78,954,3520
2784,Texas,48489,5575,0.56,0.44,3097,2437
2785,Texas,48491,287696,0.5,0.48,142457,138649
2786,Texas,48493,25006,0.25,0.74,6350,18457
2787,Texas,48495,2126,0.17,0.82,358,1753
2788,Texas,48497,32297,0.15,0.84,4953,26986
2789,Texas,48499,22665,0.15,0.84,3487,18962
2790,Texas,48501,2633,0.16,0.82,419,2172
2791,Texas,48503,8242,0.13,0.86,1036,7112
2792,Texas,48505,3867,0.47,0.53,1820,2032
2793,Texas,48507,4379,0.65,0.34,2864,1490
2794,Utah,49001,3076,0.12,0.87,356,2673
2795,Utah,49003,24323,0.17,0.79,4072,19263
2796,Utah,49005,52792,0.29,0.65,15246,34377
2797,Utah,49007,8822,0.26,0.71,2306,6255
2798,Utah,49009,590,0.18,0.8,105,473
2799,Utah,49011,137689,0.36,0.6,49128,82491
2800,Utah,49013,8476,0.1,0.88,830,7445
2801,Utah,49015,4816,0.12,0.87,566,4166
2802,Utah,49017,2722,0.19,0.79,513,2149
2803,Utah,49019,5027,0.54,0.43,2733,2168
2804,Utah,49021,19156,0.21,0.76,4033,14474
2805,Utah,49023,5875,0.11,0.86,638,5069
2806,Utah,49025,3869,0.26,0.72,1005,2777
2807,Utah,49027,4887,0.11,0.87,529,4267
